WeekID,Date,Weekday,Task1,Manuscript1,Type1,Progress1/%,SpentTime1/h,Task2,Manuscript2,Type2,Progress2/%,SpentTime2/h,WordCount,ParagraphCount,ProductivityRating (1-5),ExtraEvent,ExtraTime/h,CriticalEvent/TurningPoint/ProjectMilestone,Comments/Obstacles
W159,2023-2-2,4,Resolve comments & redo stats - behav Results ,M2,Revision,100,4.5,Test runs of bootstrapping,M1,Revision,80,1,0,0,4.5,participate in experiments,1.25,,TRAP of refining figures 
W159,2023-2-3,5,Check Brainard2006 and rewrite the related part,M1,Revision,100,1,Test runs of bootstrapping,M1,Revision,100,1.5,0,0,4.5,weekly career building ,2,,issues to be solved: asked PIs for feedbacks
W160,2023-2-6,1,"Color vs orientation, pt2",T-Dis,Draft,25,1.5,Prepare Introdcution plots,T-Intro,Draft,100,1.5,280,1.5,3,"meeting, participate in experiments",2,,not dived into the writing mood yet; got distracted for 1.5h
W160,2023-2-7,2,"Color vs orientation, pt2",T-Dis,Draft,100,2,Check test runs of bootstrapping updates,M1,Revision,100,0.5,331,1.5,4,presentation slides,3,,
W160,2023-2-8,3,"Color vs orientation, pt3",T-Dis,Draft,70,3,,,,,,483,2.5,3.8,presentation slides & seminar,3.25,,
W160,2023-2-9,4,"Color vs orientation, pt3",T-Dis,Draft,100,1.5,Read review: color catgories,T-Dis,Literature,100,1.5,120,0.5,4,"contact for ALG, meeting, participate in experiments, discuss models",4.5,,
W160,2023-2-10,5,Resolve comments (texts) - Intro & Methods,M1,Revision,100,3,,,,,,0,0,4,weekly career building ,2,,
W161,2023-2-13,1,Resolve comments - analysis & plots,M1,Revision,80,3.5,Check & understand gain control model codes,M2,Analysis,80,0.5,0,0,3.5,meeting,1.5,,
W161,2023-2-14,2,Resolve comments - analysis & plots,M1,Revision,90,1,Understand gain control model and try simulation ,M2,Analysis,100,4.5,0,0,4,"meeting, discussion",1,,
W161,2023-2-15,3,Resolve comments & Draft Abstract,M1,Revision,100,3,Code fitting scripts with new model,M2,Analysis,0,0,0,0,4,,0,,sick leave for half day
W161,2023-2-16,4,Stages of processing,T-Dis,Draft,30,3.5,Code fitting scripts with new model,M2,Analysis,0,0,250,1,3,,0,,sick leave for half day
W161,2023-2-17,5,Stages of processing,T-Dis,Draft,65,4.25,,,,,,320,1.5,3.5,,0,,
W161,2023-2-18,6,Code fitting scripts with new model,M2,Analysis,100,1.5,,,,,,0,0,4.5,,0,,
W162,2023-2-20,1,Resolve comments & refine figures,M2,Revision,100,3.25,Code simulation results with new model,M2,Analysis,100,3.5,0,0,5,,0,,
W162,2023-2-21,2,Go through all texts,M1,Revision,100,2.25,Conclusion paragraph & Abstract,M2,Draft,100,1,320,2,4.5,"reasoning about models, meeting, debugging codes for reading spectrum",2,,spent 1h in loading and reading spectrum files - still not working
W162,2023-2-22,3,Update Methods & Discussion,M2,Draft,100,2.75,Stages of processing,T-Dis,Draft,100,2.5,500,2.5,3.5,,0,,spent most of the time in rewriting and reading
W162,2023-2-23,4,Organize all draft parts and check TODOs,Thesis,Draft,70,2,Format references and fill in missing references,Thesis,Draft,70,2.5,0,0,3,Wiederspruch letter,0.5,,spent some time in Latex formatting; got bored with citing stuffs
W162,2023-2-24,5,Organize all draft parts and check TODOs,Thesis,Draft,100,0.5,Format references and fill in missing references,Thesis,Draft,100,2,0,0,3.5,ALG Termin,2,,
W163,2023-2-27,1,Difficulties in studying color processing ,T-Dis,Draft,100,3.25,Prepare open data repo ,M1,Analysis,0,0,100,0.5,4,"meeting, discussion, talk",3.75,,
W163,2023-2-28,2,Prepare open data repo ,M1,Analysis,100,1,Summary of findings,T-Dis,Draft,100,1.5,430,3,3.8,"talk, participate in experiments, self-study",3.5,,
W163,2023-3-1,3,Additional analysis,M3,Analysis,100,2.5,Go through the draft,M3,Revision,100,2.5,150,0.5,3.5,literature reading; run corrected model,0.75,,
W163,2023-3-2,4,Check new population coding model,M3,Analysis,100,1.5,Organize and document TODO literatures  (50->30),Thesis,Literature,50,2.5,0,0,4,"talk, meeting, dashboard app",4,,
W163,2023-3-3,5,Organize and document TODO literatures (50->30),Thesis,Literature,100,2.5,,,,,,0,0,4,"weekly career building, deploy app",2.5,,
W164,2023-3-6,1,Proofread chapter 1.1&1.2,T-Intro,Revision,100,3.75,Fix figures and captions in chapter 1.1&1.2,T-Intro,Revision,70,1.25,150,0.5,3.5,check M1 new comments,0.5,,
W164,2023-3-7,2,Prepare for submission,M1,Revision,50,2.5,Proofread chapter 1.3,T-Intro,Revision,100,2.5,0,0,3.8,meeting,0.5,,
W164,2023-3-8,3,Take notes of the paper series,Thesis,Literature,100,2,Prepare for submission,M1,Revision,80,1.5,0,0,4.2,presentation & seminar,3,,
W164,2023-3-9,4,Prepare for submission,M1,Revision,100,1,Proofread chapter 1.4,T-Intro,Revision,100,3,0,0,4,self-study,1.5,,felt crappy in the morning but turned pretty calm after lunch
W164,2023-3-10,5,Organize and document TODO literatures (30->25),Thesis,Literature,100,1.5,,,,,,,,,self-study,1,,worked in library & met for monthly summary
W165,2023-3-13,1,The 1st opening paragraph,T-Intro,Draft,100,2.5,Prepare for control experiment: contact subjects; code exp,M2,Experiments,100,1,250,2,4.2,"meeting, talk",3.5,,took a power nap
W165,2023-3-14,2,Complete all figures and captions,T-Intro,Draft,80,2,,,,,,,,4,meeting,4.5,,
W165,2023-3-15,3,Complete all figures and captions,T-Intro,Draft,100,1.25,General revision; Proofread chapter Aim,T-Intro,Revision,100,2,,,4,"participate in experiments, self-study",2,,
W165,2023-3-16,4,Suppl. Methods - control experiment,M2,Draft,100,1,Collect data S1 - control experiment,M2,Experiments,100,1.75,120,1,3.5,"participate in experiments, self-study, spontaneous M2 revision",4.5,,
W165,2023-3-17,5,Analyze data S1 - control experiment,M2,Analysis,100,1.25,General revision and proofreading,M2,Revision,100,1,,,4,weekly career building,2.75,,
W166,2023-3-20,1,"Proofread, pt. 1&2",T-Dis,Revision,90,2.5,Collect & analyze data S2 - control experiment,M2,Analysis,100,3,,,3,talk,1,,
W166,2023-3-21,2,"Add control experiment: figures, results, discussion",M2,Draft,100,3,Modeling analysis of control experiment data,M2,Analysis,90,1,300,2,4.5,self-study,2.5,,
W166,2023-3-22,3,"Proofread, pt. 1&2&3",T-Dis,Revision,100,3,Modeling analysis of control experiment data,M2,Analysis,100,0.5,,,3.7,"participate in experiments, seminar",3,,
W166,2023-3-23,4,Discussion meeting about discussion,M1,Revision,,1.5,,,,,,,,3.5,"Termine, meeting, participate in experiments",3.5,,
W166,2023-3-24,5,CNS abstract,M1,Draft,100,1.5,Rerange and rephrase discussion,M1,Revision,100,1.5,,,4,"conference searching, self-study",3,,
W167,2023-3-27,1,Finalize and submit CNS abstract ,M1,Draft,100,2.5,"Proofread, pt.4",T-Dis,Revision,100,2,,,4,"meeting, literature reading",2,,
W167,2023-3-28,2,"Proofread, pt. 5",T-Dis,Revision,100,1.5,Concluding remarks,T-Dis,Draft,100,1.5,200,1,4,"contact ALG, career service call, meeting, participate in experiments",2.5,,
W167,2023-3-29,3,Draft Abstract,M3,Draft,100,1,"M1 final prep: citation formats, submission requirememts, email Strongway ",M1,Revision,,2,180,1,4,"general tweaks on citation formating, participate in experiments",2,add Strongway as M1 co-author,
W167,2023-3-30,4,Spontaneous revision,T-Intro,Revision,100,1.5,,,,,,,,3.5,half-day symposium,4.5,,
W167,2023-3-31,5,,,,,,,,,,,,,,"half-day symposium, monthly summary",7.5,,
W168,2023-4-3,1,1st page Abstract/Summary,Thesis,Draft,100,2.5,Resolve comments - Intro & Results,M1,Revision,0,0,300,2,2.5,participate in experiments,2,,barely worked in the morning
W168,2023-4-4,2,Resolve latest comments - Intro & Results pt1,M1,Revision,100,2,Check thesis submission TODO & add suppl parts,Thesis,Revision,100,1.5,100,1,4.5,"meeting, participate in experiments",2,postpone thesis submission plan (May -> June/July),
W168,2023-4-5,3,,,,,,,,,,,,,4.5,"seminar reading & seminar, participate in experiments, self-study",6.5,,
W168,2023-4-6,4,,,,,,,,,,,,,4,data projects,6,,
W168,2023-4-7,5,,,,,,,,,,,,,4,"data projects, record dash board",3,,
W169,2023-4-11,2,Resolve latest comments - Behav Results/Introduction,M1,Revision,100,3,,,,,,,,4.5,"meeting, participate in experiments",2,,spent more time than expected in meeting and the following revision
W169,2023-4-12,3,,,,,,,,,,,,,4.5,"self-study, check Leipzig airbnb, participate in experiments, seminar",6.5,,
W169,2023-4-13,4,,,,,,,,,,,,,3.5,"self-study, book airbnb, Bernstein workshop, subjects survey, participate in experiments",6,,
W169,2023-4-14,5,,,,,,,,,,,,,3,"self-study, weekly career building, weekly summary",5,,
W170,2023-4-17,1,Search and add new literature ,M1,Literature,100,1.5,,,,,,,,4,"self-study, lab meeting",5,,
W170,2023-4-18,2,Read and take notes: Bosten2022-dj ,T-Dis,Literature,100,1.5,Add new literature and rephrase accordingly ,T-Dis,Revision,100,1,,,4.5,self-study,4,,
W170,2023-4-19,3,,,,,,,,,,,,,3,self-study,5,,wfh: distracted & sleepy
W170,2023-4-20,4,,,,,,,,,,,,,4.2,"meeting, self-study",7.5,,
W170,2023-4-21,5,,,,,,,,,,,,,4,"career workshop, weekly summary",6.5,,
W171,2023-4-24,1,,,,,,,,,,,,,4.2,"meeting, self-study, career building",6.5,,
W171,2023-4-25,2,Combine figures to resolve comments,M1,Revision,100,0.5,,,,,,,,4,"meeting, discussion, self-study, career building",5.5,,
W171,2023-4-26,3,,,,,,,,,,,,,4,"self-study, discussion, career building",6.5,,
W171,2023-4-27,4,,,,,,,,,,,,,3,"self-study, career building",6,,
W171,2023-4-28,5,,,,,,,,,,,,,3.5,"self-study, career building",6,,
W172,2023-5-2,2,Check and solve new comments,M1,Revision,80,4,,,,,,,,3.8,meeting,1,,unstable internet connection -> got impatient
W172,2023-5-3,3,Check figure S8 and solve new comments,M1,Revision,100,3,Try inverting relation prediction,M1,Analysis,100,1.5,,,4.5,seminar,2.75,,
W172,2023-5-4,4,Revisit bias data analysis,M3,Analysis,100,1.5,Add/update new figures and related results; rephrase discussion points,M3,Revision,100,3,,,4,Bernstein Workshop,1,,
W172,2023-5-5,5,Update discussion about M3,T-Dis,Revision,100,0.5,,,,,,,,3.5,"self-study, career building, weekly/monthly summary",6,,task1: turned out nothing to change: the point was not included at all...
W173,2023-5-8,1,,,,,,,,,,,,,3.8,"self-study, lab meeting, introduction for new intern, talk ",7,,
W173,2023-5-9,2,,,,,,,,,,,,,4.5,"self-study, introduction for new intern",7,,
W173,2023-5-10,3,,,,,,,,,,,,,4.2,"self-study, career building, help intern with coding",8,,
W173,2023-5-11,4,,,,,,,,,,,,,4,"self-study, career building, help intern with coding",7,,
W173,2023-5-12,5,,,,,,,,,,,,,4,"self-study, career building, help intern with coding, weekly summary",5,Strongway completed M1 revision,
W174,2023-5-15,1,Resolve new comments & read through manuscript,M1,Revision,100,2.5,,,,,,,,4.2,"meeting, help intern with coding, self-study",4,,
W174,2023-5-16,2,mlab presentation slides: skeleton + general intro,Thesis,Presentation,100,4,,,,,,,,3.5,"help with office moving, self-study",1,,got distracted by random thoughts about careers 
W174,2023-5-17,3,mlab presentation slides: project parts,Thesis,Presentation,85,3,,,,,,,,4.3,neuroscience day (half-day),4.5,,spent more time than expected on making animations
W174,2023-5-18,4,mlab presentation slides: project parts,Thesis,Presentation,100,1,,,,,,,,4,career building,2.5,,
W174,2023-5-19,5,"mlab presentation slides: go through details, add animation, rehearsal",Thesis,Presentation,100,2,,,,,,,,3.8,"self-study, career building, weekly summary",4,,
W175,2023-5-22,1,mlab presentation,Thesis,Presentation,100,2,,,,,,,,4,career building,1.5,,travel to psychology department
W175,2023-5-23,2,,,,,,,,,,,,,3.5,"self-study, career building, defense talk, tutor intern, contact TK",6,,
W175,2023-5-24,3,Final pass through ,M1,Revision,100,1,Resolve and delete all comments -> send out final version,M1,Revision,100,3,,,4.5,"meeting, career building",2,agree to submit thesis in June - early July anyway,
W175,2023-5-25,4,,,,,,,,,,,,,4.5,"ask GSN for submission docs, organize thesis TODO, career building",7,,
W175,2023-5-26,5,,,,,,,,,,,,,4,"career building, VSS wrap-up meeting, weekly summary",6,,
W176,2023-5-30,2,Improve formats & outline addtional discussion points,Thesis,Revision,100,2.5,"Check editors, register for submission, check uppercase in reference",M1,Revision,100,1.5,,,3.5,"career buidling, defense talk, meeting",2,,
W176,2023-5-31,3,"Reindex figure files, clean figures in repo",M1,Revision,50,0.75,Limitations & Outlook,T-Dis,Draft,100,2.5,200,,3,"try intern's experiments, prepare GSN stipend doc pt1/2",2,,1h online shopping during the afternoon
W176,2023-6-1,4,"Pass through & resolve minor changes, fill in parts of submission info",M1,Revision,100,1.5,Rephrase blended outlook parts,T-Dis,Revision,100,1.5,,,4,"talk, prepare GSN stipend doc pt2/2, career building",3.5,1st invitation to job interview,
